commune,Population,region,Latitude,Longitude
Tanger,1275428.0,Région de Tanger-Tétouan-Al Hoceima,35.7696302,-5.8033522
Assilah,36039.0,Région de Tanger-Tétouan-Al Hoceima,35.461928,-6.036545
Gueznaia,88676.0,Région de Tanger-Tétouan-Al Hoceima,35.703352,-5.887293
Hjar Ennhal,27204.0,Région de Tanger-Tétouan-Al Hoceima,35.6372626,-5.897040664447673
Dar Chaoui,4471.0,Région de Tanger-Tétouan-Al Hoceima,35.5327437,-5.7181352
Al Manzla,2680.0,Région de Tanger-Tétouan-Al Hoceima,35.549240350000005,-5.864878762227429
Laaouama,19187.0,Région de Tanger-Tétouan-Al Hoceima,35.724696,-5.798495
Aquouass Briech,4981.0,Région de Tanger-Tétouan-Al Hoceima,35.5523249,-5.956496134048544
Had Al Gharbia,12838.0,Région de Tanger-Tétouan-Al Hoceima,35.5153823,-5.9304923
Sahel Chamali,5028.0,Région de Tanger-Tétouan-Al Hoceima,35.3850024,-6.052684110217392
Sidi Lyamani,10616.0,Région de Tanger-Tétouan-Al Hoceima,35.3670419,-5.9731159
M'diq,67599.0,Région de Tanger-Tétouan-Al Hoceima,35.6833598,-5.3232161
Fnideq,77250.0,Région de Tanger-Tétouan-Al Hoceima,35.8392089,-5.3614246
Martil,95896.0,Région de Tanger-Tétouan-Al Hoceima,35.617441,-5.274154
Allyene,8111.0,Région de Tanger-Tétouan-Al Hoceima,35.727814800000004,-5.415310158583102
Belyounech,5208.0,Région de Tanger-Tétouan-Al Hoceima,35.9062644,-5.3921994
Tétouan,422757.0,Région de Tanger-Tétouan-Al Hoceima,35.570175,-5.3742776
Oued Laou,11690.0,Région de Tanger-Tétouan-Al Hoceima,35.450492,-5.093029
Souk Kdim,8699.0,Région de Tanger-Tétouan-Al Hoceima,35.6055948,-5.535709903556427
Jbel Lahbib,4126.0,Région de Tanger-Tétouan-Al Hoceima,35.457323349999996,-5.78241357395313
Bni Harchen,6423.0,Région de Tanger-Tétouan-Al Hoceima,35.521765349999995,-5.658482623748618
Al Kharroub,2099.0,Région de Tanger-Tétouan-Al Hoceima,35.40642795,-5.699808306067317
Mallalienne,10874.0,Région de Tanger-Tétouan-Al Hoceima,35.6263117,-5.3415171
Saddina,7619.0,Région de Tanger-Tétouan-Al Hoceima,35.6299587,-5.45270153318026
Sahtryine,8733.0,Région de Tanger-Tétouan-Al Hoceima,35.48728785,-5.479902604483775
Bni Idder,4659.0,Région de Tanger-Tétouan-Al Hoceima,35.3985896,-5.5120689
Bghaghza,6238.0,Région de Tanger-Tétouan-Al Hoceima,35.4344251,-5.6455142
