Collectivités territoriales,Population,region
Tanger,1275428.0,Région de Tanger-Tétouan-Al Hoceima
Assilah,36039.0,Région de Tanger-Tétouan-Al Hoceima
Gueznaia,88676.0,Région de Tanger-Tétouan-Al Hoceima
Hjar Ennhal,27204.0,Région de Tanger-Tétouan-Al Hoceima
Dar Chaoui,4471.0,Région de Tanger-Tétouan-Al Hoceima
Al Manzla,2680.0,Région de Tanger-Tétouan-Al Hoceima
Laaouama,19187.0,Région de Tanger-Tétouan-Al Hoceima
Sebt Azzinate,7265.0,Région de Tanger-Tétouan-Al Hoceima
Aquouass Briech,4981.0,Région de Tanger-Tétouan-Al Hoceima
Had Al Gharbia,12838.0,Région de Tanger-Tétouan-Al Hoceima
Sahel Chamali,5028.0,Région de Tanger-Tétouan-Al Hoceima
Sidi Lyamani,10616.0,Région de Tanger-Tétouan-Al Hoceima
M'diq,67599.0,Région de Tanger-Tétouan-Al Hoceima
Fnideq,77250.0,Région de Tanger-Tétouan-Al Hoceima
Martil,95896.0,Région de Tanger-Tétouan-Al Hoceima
Allyene,8111.0,Région de Tanger-Tétouan-Al Hoceima
Belyounech,5208.0,Région de Tanger-Tétouan-Al Hoceima
Tétouan,422757.0,Région de Tanger-Tétouan-Al Hoceima
Oued Laou,11690.0,Région de Tanger-Tétouan-Al Hoceima
Ain Lahsan,7450.0,Région de Tanger-Tétouan-Al Hoceima
Souk Kdim,8699.0,Région de Tanger-Tétouan-Al Hoceima
Jbel Lahbib,4126.0,Région de Tanger-Tétouan-Al Hoceima
Bni Harchen,6423.0,Région de Tanger-Tétouan-Al Hoceima
Al Kharroub,2099.0,Région de Tanger-Tétouan-Al Hoceima
Mallalienne,10874.0,Région de Tanger-Tétouan-Al Hoceima
Saddina,7619.0,Région de Tanger-Tétouan-Al Hoceima
Sahtryine,8733.0,Région de Tanger-Tétouan-Al Hoceima
Bni Idder,4659.0,Région de Tanger-Tétouan-Al Hoceima
Bghaghza,6238.0,Région de Tanger-Tétouan-Al Hoceima
Bni Leit,5004.0,Région de Tanger-Tétouan-Al Hoceima
Al Hamra,11877.0,Région de Tanger-Tétouan-Al Hoceima
Al Oued,10875.0,Région de Tanger-Tétouan-Al Hoceima
Oulad Ali Mansour,4683.0,Région de Tanger-Tétouan-Al Hoceima
Dar Bni Karrich,10115.0,Région de Tanger-Tétouan-Al Hoceima
Zinat,8214.0,Région de Tanger-Tétouan-Al Hoceima
Azla,22985.0,Région de Tanger-Tétouan-Al Hoceima
Zaitoune,13492.0,Région de Tanger-Tétouan-Al Hoceima
Bni Said,10465.0,Région de Tanger-Tétouan-Al Hoceima
Zaouiat Sidi Kacem,12851.0,Région de Tanger-Tétouan-Al Hoceima
Malloussa,18854.0,Région de Tanger-Tétouan-Al Hoceima
Al Bahraoyine,15491.0,Région de Tanger-Tétouan-Al Hoceima
Ksar Sghir,17125.0,Région de Tanger-Tétouan-Al Hoceima
Jouamaa,10039.0,Région de Tanger-Tétouan-Al Hoceima
Anjra,17251.0,Région de Tanger-Tétouan-Al Hoceima
Taghramt,9326.0,Région de Tanger-Tétouan-Al Hoceima
Ksar El Majaz,12703.0,Région de Tanger-Tétouan-Al Hoceima
Ksar El Kebir,124701.0,Région de Tanger-Tétouan-Al Hoceima
Larache,133731.0,Région de Tanger-Tétouan-Al Hoceima
Laouamra,48253.0,Région de Tanger-Tétouan-Al Hoceima
Zouada,25289.0,Région de Tanger-Tétouan-Al Hoceima
Ksar Bjir,17182.0,Région de Tanger-Tétouan-Al Hoceima
Boujedyane,9624.0,Région de Tanger-Tétouan-Al Hoceima
Tatoft,8657.0,Région de Tanger-Tétouan-Al Hoceima
Souk L'qolla,13592.0,Région de Tanger-Tétouan-Al Hoceima
Bni Arouss,7337.0,Région de Tanger-Tétouan-Al Hoceima
Tazroute,5449.0,Région de Tanger-Tétouan-Al Hoceima
Ayacha,6925.0,Région de Tanger-Tétouan-Al Hoceima
Bni Garfett,11311.0,Région de Tanger-Tétouan-Al Hoceima
Zaaroura,8615.0,Région de Tanger-Tétouan-Al Hoceima
Sahel,18258.0,Région de Tanger-Tétouan-Al Hoceima
Rissana Chamalia,12961.0,Région de Tanger-Tétouan-Al Hoceima
Rissana Janoubia,19480.0,Région de Tanger-Tétouan-Al Hoceima
Oulad Ouchih,13409.0,Région de Tanger-Tétouan-Al Hoceima
Souaken,12582.0,Région de Tanger-Tétouan-Al Hoceima
Souk Tolba,12855.0,Région de Tanger-Tétouan-Al Hoceima
