Collectivités territoriales,Population
Préfecture de Tanger-Assilah,1494413
Préfecture de M'diq-Fnideq,254064
Province de Tetouan,611928
Province de Fahs-Anjra,100789
Province de Larache,510211
Province d'Al Hoceima,371527
Province de Chefchaouen,412713
Province d'Ouezzane,274577
Préfecture d'Oujda-Angad,572454
Province de Nador,565987
Province de Driouch,188191
Province de Jerada,103527
Province de Berkane,284061
Province de Taourirt,220157
Province de Guercif,215837
Province de Figuig,144451
Préfecture de Fès,1256172
Préfecture de Meknès,942945
Province d'El Hajeb,267156
Province d'Ifrane,160904
Province de Moulay Yacoub,216954
Province de Sefrou,304748
Province de Boulemane,205411
Province de Taounate,612650
Province de Taza,500971
Préfecture de Rabat,515619
Préfecture de Salé,1089554
Préfecture de Skhirate-Témara,783475
Province de Kénitra,1284247
Province de Khémisset,563036
Province de Sidi Kacem,545509
Province de Sidi Slimane,351199
Province de Béni Mellal,580327
Province d'Azilal,574112
Province de Fquih Ben Saleh,475977
Province de Khénifra,370240
Province de Khouribga,525145
Préfecture de Casablanca,3218036
Préfecture de Mohammadia,514057
Province d'El Jadida,914367
Province de Nouaceur,672324
Province de Médiouna,345787
Province de Benslimane,279517
Province de Berrechid,640657
Province de Settat,652292
Province de Sidi Bennour,451930
Préfecture de Marrakech,1571580
Province de Chichaoua,379079
Province d'Al Haouz,642815
Province d'El Kelâat Es-Sraghna,560273
Province d'Essaouira,426719
Province de Rhamna,346108
Province de Safi,719671
Province de Youssoufia,246148
Province d'Errachidia,427572
Province d'Ouarzazate,304932
Province de Midelt,313769
Province de Tinghir,323805
Province de Zagora,285545
Préfecture d'Agadir Ida-Outanane,721431
Préfecture d'Inezgane-Ait Melloul,636916
Province de Chtouka-Ait Baha,493623
Province de Taroudant,858162
Province de Tiznit,198542
Province de Tata,111757
Province de Guelmim,196267
Province d'Assa-Zag,53298
Province de Tan-Tan,94519
Province de Sidi Ifni,104601
Province de Laayoune,295555
Province de Boujdour,65381
Province de Tarfaya,16228
Province d'Es-Semara,73864
Province d'Oued Ed-Dahab,195467
Province d'Aousserd,24498
